Date,Type,Details,Amount,Units / Contracts,Realized Equity Change,Realized Equity,Balance,Position ID,Asset type,NWA
22/05/2025 00:22:29,Index price adjustment,NSDQ100/USD," 0,09 ",-," 0,09 "," 1.452,12 "," 817,17 ",3024387486,CFD," 0,00 "
22/05/2025 00:22:29,Index price adjustment,NSDQ100/USD," 0,10 ",-," 0,10 "," 1.452,22 "," 817,27 ",3024404374,CFD," 0,00 "
22/05/2025 00:22:29,Index price adjustment,NSDQ100/USD," 0,12 ",-," 0,12 "," 1.452,34 "," 817,39 ",3024520621,CFD," 0,00 "
22/05/2025 00:22:29,Index price adjustment,NSDQ100/USD," 0,09 ",-," 0,09 "," 1.452,43 "," 817,48 ",3024565603,CFD," 0,00 "
22/05/2025 00:43:22,Index price adjustment,SPX500/USD," 0,04 ",-," 0,04 "," 1.452,47 "," 817,52 ",3024237386,CFD," 0,00 "
22/05/2025 06:43:05,Position closed,NSDQ100/USD," 121,31 ",0.113728," 1,32 "," 1.453,79 "," 938,83 ",3024610584,CFD," 0,00 "
22/05/2025 11:08:03,Position closed,NSDQ100/USD," 155,22 ",0.142031," 5,22 "," 1.459,01 "," 1.094,05 ",3024520621,CFD," 0,00 "
22/05/2025 11:08:45,Open Position,NSDQ100/USD," 100,99 ",0.095433," 0,00 "," 1.459,01 "," 993,06 ",3024800000,CFD," 0,00 "
22/05/2025 11:42:40,Open Position,NSDQ100/USD," 99,99 ",0.0948," 0,00 "," 1.459,01 "," 893,07 ",3024811547,CFD," 0,00 "
22/05/2025 12:21:25,Open Position,NSDQ100/USD," 99,99 ",0.09526," 0,00 "," 1.459,01 "," 793,08 ",3024828822,CFD," 0,00 "
22/05/2025 12:27:09,Position closed,NSDQ100/USD," 99,00 ",0.09526,"(0,99)"," 1.458,02 "," 892,08 ",3024828822,CFD," 0,00 "
22/05/2025 12:33:40,Open Position,NSDQ100/USD," 49,98 ",0.047637," 0,00 "," 1.458,02 "," 842,10 ",3024836819,CFD," 0,00 "
22/05/2025 12:34:40,Position closed,NSDQ100/USD," 48,76 ",0.047637,"(1,22)"," 1.456,80 "," 890,86 ",3024836819,CFD," 0,00 "
22/05/2025 13:02:00,Position closed,NSDQ100/USD," 103,97 ",0.0948," 3,98 "," 1.460,78 "," 994,83 ",3024811547,CFD," 0,00 "
22/05/2025 13:07:55,Position closed,NSDQ100/USD," 98,52 ",0.095433,"(2,47)"," 1.458,31 "," 1.093,35 ",3024800000,CFD," 0,00 "
22/05/2025 13:45:26,Open Position,NSDQ100/USD," 99,99 ",0.094732," 0,00 "," 1.458,31 "," 993,36 ",3025098398,CFD," 0,00 "
22/05/2025 13:54:08,Position closed,NSDQ100/USD," 106,97 ",0.094732," 6,98 "," 1.465,29 "," 1.100,33 ",3025098398,CFD," 0,00 "
22/05/2025 13:54:45,Position closed,NSDQ100/USD," 61,23 ",0.059307,"(1,62)"," 1.463,67 "," 1.161,56 ",3025182541,CFD," 0,00 "
22/05/2025 14:02:22,Position closed,NSDQ100/USD," 68,67 ",0.063349," 1,53 "," 1.465,20 "," 1.230,23 ",3024404374,CFD," 0,00 "
22/05/2025 14:03:27,Open Position,NSDQ100/USD," 100,99 ",0.09514," 0,00 "," 1.465,20 "," 1.129,24 ",3025195871,CFD," 0,00 "
22/05/2025 14:06:54,Position closed,NSDQ100/USD," 120,25 ",0.112948," 0,27 "," 1.465,47 "," 1.249,49 ",3024387486,CFD," 0,00 "
