Date,Type,Details,Amount,Units / Contracts,Realized Equity Change,Realized Equity,Balance,Position ID,Asset type,NWA
01/07/2025 06:15:20,Open Position,NSDQ100/USD," 119,99 ",0.053022," 0,00 "," 1.889,49 "," 1.769,50 ",3055564089,CFD," 0,00 "
01/07/2025 08:09:07,Position closed,NSDQ100/USD," 119,28 ",0.053022,"(0,71)"," 1.888,78 "," 1.888,78 ",3055564089,CFD," 0,00 "
01/07/2025 08:09:46,Open Position,NSDQ100/USD," 119,99 ",0.053043," 0,00 "," 1.888,78 "," 1.768,79 ",3055659791,CFD," 0,00 "
01/07/2025 08:51:54,Open Position,VIX.JUL25/USD," 150,00 ",79.030558," 0,00 "," 1.888,78 "," 1.618,79 ",3055678832,CFD," 0,00 "
01/07/2025 08:53:04,Position closed,NSDQ100/USD," 120,47 ",0.053043," 0,48 "," 1.889,26 "," 1.739,26 ",3055659791,CFD," 0,00 "
01/07/2025 08:55:29,Open Position,NSDQ100/USD," 64,74 ",0.106026," 0,00 "," 1.889,26 "," 1.619,27 ",3055679902,CFD," 0,00 "
01/07/2025 10:55:17,Position closed,NSDQ100/USD," 58,03 ",0.052149,"(0,99)"," 1.888,27 "," 1.677,30 ",3055875853,CFD," 0,00 "
01/07/2025 12:27:16,Open Position,NSDQ100/USD," 119,98 ",0.106406," 0,00 "," 1.888,27 "," 1.557,32 ",3055902532,CFD," 0,00 "
01/07/2025 12:40:16,Position closed,NSDQ100/USD," 120,75 ",0.106406," 0,77 "," 1.889,04 "," 1.678,07 ",3055902532,CFD," 0,00 "
01/07/2025 13:35:19,Open Position,NSDQ100/USD," 119,99 ",0.106237," 0,00 "," 1.889,04 "," 1.558,08 ",3056075454,CFD," 0,00 "
01/07/2025 13:36:46,Position closed,NSDQ100/USD," 120,90 ",0.106237," 0,91 "," 1.889,95 "," 1.678,98 ",3056075454,CFD," 0,00 "
01/07/2025 13:37:16,Open Position,NSDQ100/USD," 101,98 ",0.090268," 0,00 "," 1.889,95 "," 1.577,00 ",3056083931,CFD," 0,00 "
