Date,Type,Details,Amount,Units / Contracts,Realized Equity Change,Realized Equity,Balance,Position ID,Asset type,NWA
01/06/2025 22:46:46,Open Position,NSDQ100/USD," 150,00 ",0.140978," 0,00 "," 1.543,45 "," 838,35 ",3031374881,CFD," 0,00 "
01/06/2025 23:27:08,Position closed,NSDQ100/USD," 147,21 ",0.140978,"(2,79)"," 1.540,66 "," 985,56 ",3031374881,CFD," 0,00 "
02/06/2025 07:08:55,Open Position,NSDQ100/USD," 150,00 ",0.141403," 0,00 "," 1.540,66 "," 835,56 ",3031483370,CFD," 0,00 "
02/06/2025 11:27:14,Position closed,NSDQ100/USD," 151,09 ",0.141403," 1,09 "," 1.541,75 "," 986,65 ",3031483370,CFD," 0,00 "
02/06/2025 11:33:35,Open Position,NSDQ100/USD," 101,98 ",0.096028," 0,00 "," 1.541,75 "," 884,67 ",3031614493,CFD," 0,00 "
02/06/2025 13:38:33,Position closed,NSDQ100/USD," 117,35 ",0.096028," 15,37 "," 1.557,12 "," 1.002,02 ",3031614493,CFD," 0,00 "
02/06/2025 13:54:11,Open Position,NSDQ100/USD," 129,98 ",0.12219," 0,00 "," 1.557,12 "," 872,04 ",3031979404,CFD," 0,00 "
02/06/2025 14:23:07,Position closed,NSDQ100/USD," 135,33 ",0.12219," 5,35 "," 1.562,47 "," 1.007,37 ",3031979404,CFD," 0,00 "
02/06/2025 14:23:54,Open Position,NSDQ100/USD," 119,98 ",0.112547," 0,00 "," 1.562,47 "," 887,39 ",3032072603,CFD," 0,00 "
02/06/2025 14:51:27,Position closed,NSDQ100/USD," 121,15 ",0.112547," 1,17 "," 1.563,64 "," 1.008,54 ",3032072603,CFD," 0,00 "
02/06/2025 15:35:08,Open Position,NSDQ100/USD," 119,99 ",0.112564," 0,00 "," 1.563,64 "," 888,55 ",3032475365,CFD," 0,00 "
02/06/2025 15:46:17,Position closed,NSDQ100/USD," 124,44 ",0.112564," 4,45 "," 1.568,09 "," 1.012,99 ",3032475365,CFD," 0,00 "
02/06/2025 15:55:04,Position closed,NSDQ100/USD," 107,52 ",0.095114,"(5,12)"," 1.562,97 "," 1.120,51 ",3030311440,CFD," 0,00 "
02/06/2025 15:56:26,Position closed,NSDQ100/USD," 89,23 ",0.07883,"(7,97)"," 1.555,00 "," 1.209,74 ",3032490749,CFD," 0,00 "
02/06/2025 17:14:56,Position closed,NSDQ100/USD," 80,38 ",0.070042,"(5,98)"," 1.549,02 "," 1.290,12 ",3030110749,CFD," 0,00 "
02/06/2025 17:17:29,Open Position,NSDQ100/USD," 129,99 ",0.12142," 0,00 "," 1.549,02 "," 1.160,13 ",3032554355,CFD," 0,00 "
02/06/2025 17:19:59,Open Position,NSDQ100/USD," 120,00 ",0.112077," 0,00 "," 1.549,02 "," 1.040,13 ",3032555739,CFD," 0,00 "
02/06/2025 17:42:12,Position closed,NSDQ100/USD," 120,96 ",0.112077," 0,96 "," 1.549,98 "," 1.161,09 ",3032555739,CFD," 0,00 "
02/06/2025 17:43:17,Open Position,NSDQ100/USD," 101,00 ",0.094389," 0,00 "," 1.549,98 "," 1.060,09 ",3032574217,CFD," 0,00 "
02/06/2025 18:19:10,Position closed,NSDQ100/USD," 134,65 ",0.12142," 4,66 "," 1.554,64 "," 1.194,74 ",3032554355,CFD," 0,00 "
02/06/2025 18:44:51,Open Position,NSDQ100/USD," 119,99 ",0.111812," 0,00 "," 1.554,64 "," 1.074,75 ",3032610719,CFD," 0,00 "
02/06/2025 19:07:21,Position closed,NSDQ100/USD," 121,20 ",0.111812," 1,21 "," 1.555,85 "," 1.195,95 ",3032610719,CFD," 0,00 "
02/06/2025 19:08:44,Open Position,NSDQ100/USD," 101,99 ",0.09499," 0,00 "," 1.555,85 "," 1.093,96 ",3032627200,CFD," 0,00 "
02/06/2025 19:25:07,Position closed,NSDQ100/USD," 103,49 ",0.09499," 1,50 "," 1.557,35 "," 1.197,45 ",3032627200,CFD," 0,00 "
02/06/2025 19:25:21,Open Position,NSDQ100/USD," 101,99 ",0.094905," 0,00 "," 1.557,35 "," 1.095,46 ",3032642705,CFD," 0,00 "
02/06/2025 19:58:51,Position closed,NSDQ100/USD," 115,35 ",0.094297,"(14,06)"," 1.543,29 "," 1.210,81 ",3029750363,CFD," 0,00 "
02/06/2025 20:29:50,Position closed,NSDQ100/USD," 119,00 ",0.0943,"(10,49)"," 1.532,80 "," 1.329,81 ",3029733264,CFD," 0,00 "
02/06/2025 20:29:58,Position closed,NSDQ100/USD," 104,41 ",0.094905," 2,42 "," 1.535,22 "," 1.434,22 ",3032642705,CFD," 0,00 "
02/06/2025 20:30:09,Open Position,NSDQ100/USD," 124,99 ",0.116152," 0,00 "," 1.535,22 "," 1.309,23 ",3032667991,CFD," 0,00 "
02/06/2025 20:39:29,Open Position,NSDQ100/USD," 64,98 ",0.060409," 0,00 "," 1.535,22 "," 1.244,25 ",3032669023,CFD," 0,00 "
02/06/2025 20:42:55,Position closed,NSDQ100/USD," 89,57 ",0.094389,"(11,43)"," 1.523,79 "," 1.333,82 ",3032574217,CFD," 0,00 "
02/06/2025 23:11:00,Overnight fee,Daily,"(0,31)",-,"(0,31)"," 1.523,48 "," 1.333,51 ",3032669023,CFD," 0,00 "
02/06/2025 23:11:00,Overnight fee,Daily,"(0,60)",-,"(0,60)"," 1.522,88 "," 1.332,91 ",3032667991,CFD," 0,00 "
03/06/2025 07:23:34,Open Position,NSDQ100/USD," 150,00 ",0.140326," 0,00 "," 1.522,88 "," 1.182,91 ",3032774887,CFD," 0,00 "
03/06/2025 09:12:22,Position closed,NSDQ100/USD," 153,51 ",0.140326," 3,51 "," 1.526,39 "," 1.336,42 ",3032774887,CFD," 0,00 "
03/06/2025 09:12:33,Open Position,NSDQ100/USD," 155,00 ",0.14479," 0,00 "," 1.526,39 "," 1.181,42 ",3032822898,CFD," 0,00 "
03/06/2025 10:43:40,Position closed,NSDQ100/USD," 158,11 ",0.14479," 3,11 "," 1.529,50 "," 1.339,53 ",3032822898,CFD," 0,00 "
03/06/2025 10:45:10,Open Position,NSDQ100/USD," 150,00 ",0.139964," 0,00 "," 1.529,50 "," 1.189,53 ",3032845178,CFD," 0,00 "
03/06/2025 11:40:43,Position closed,NSDQ100/USD," 157,00 ",0.139964," 7,00 "," 1.536,50 "," 1.346,53 ",3032845178,CFD," 0,00 "
03/06/2025 11:55:25,Open Position,NSDQ100/USD," 101,99 ",0.094928," 0,00 "," 1.536,50 "," 1.244,54 ",3032861080,CFD," 0,00 "
03/06/2025 13:00:22,Position closed,NSDQ100/USD," 101,86 ",0.094928,"(0,13)"," 1.536,37 "," 1.346,40 ",3032861080,CFD," 0,00 "
03/06/2025 13:05:57,Position closed,NSDQ100/USD," 64,12 ",0.060409,"(0,86)"," 1.535,51 "," 1.410,52 ",3032669023,CFD," 0,00 "
03/06/2025 13:40:51,Open Position,NSDQ100/USD," 101,99 ",0.094912," 0,00 "," 1.535,51 "," 1.308,53 ",3032996042,CFD," 0,00 "
03/06/2025 13:41:15,Position closed,NSDQ100/USD," 103,07 ",0.094912," 1,08 "," 1.536,59 "," 1.411,60 ",3032996042,CFD," 0,00 "
03/06/2025 13:41:21,Open Position,NSDQ100/USD," 100,98 ",0.093903," 0,00 "," 1.536,59 "," 1.310,62 ",3032996953,CFD," 0,00 "
03/06/2025 13:52:15,Position closed,NSDQ100/USD," 103,69 ",0.093903," 2,71 "," 1.539,30 "," 1.414,31 ",3032996953,CFD," 0,00 "
03/06/2025 13:52:15,Position closed,NSDQ100/USD," 126,75 ",0.116152," 1,76 "," 1.541,06 "," 1.541,06 ",3032667991,CFD," 0,00 "
03/06/2025 13:52:29,Open Position,NSDQ100/USD," 150,00 ",0.139235," 0,00 "," 1.541,06 "," 1.391,06 ",3033108262,CFD," 0,00 "
03/06/2025 14:02:25,Position closed,NSDQ100/USD," 154,41 ",0.139235," 4,41 "," 1.545,47 "," 1.545,47 ",3033108262,CFD," 0,00 "
03/06/2025 14:02:34,Open Position,NSDQ100/USD," 160,00 ",0.148192," 0,00 "," 1.545,47 "," 1.385,47 ",3033150155,CFD," 0,00 "
03/06/2025 14:04:44,Open Position,NSDQ100/USD," 99,99 ",0.092686," 0,00 "," 1.545,47 "," 1.285,48 ",3033159014,CFD," 0,00 "
03/06/2025 14:08:48,Position closed,NSDQ100/USD," 104,25 ",0.092686," 4,26 "," 1.549,73 "," 1.389,73 ",3033159014,CFD," 0,00 "
03/06/2025 15:02:48,Position closed,NSDQ100/USD," 164,50 ",0.148192," 4,50 "," 1.554,23 "," 1.554,23 ",3033150155,CFD," 0,00 "
03/06/2025 15:03:50,Open Position,NSDQ100/USD," 119,99 ",0.11095," 0,00 "," 1.554,23 "," 1.434,24 ",3033291186,CFD," 0,00 "
03/06/2025 15:59:38,Position closed,NSDQ100/USD," 120,76 ",0.11095," 0,77 "," 1.555,00 "," 1.555,00 ",3033291186,CFD," 0,00 "
03/06/2025 16:00:45,Open Position,NSDQ100/USD," 74,99 ",0.069287," 0,00 "," 1.555,00 "," 1.480,01 ",3033382772,CFD," 0,00 "
03/06/2025 16:18:31,Position closed,NSDQ100/USD," 76,21 ",0.069287," 1,22 "," 1.556,22 "," 1.556,22 ",3033382772,CFD," 0,00 "
03/06/2025 16:23:01,Open Position,NSDQ100/USD," 101,99 ",0.094195," 0,00 "," 1.556,22 "," 1.454,23 ",3033403631,CFD," 0,00 "
03/06/2025 17:15:00,Position closed,NSDQ100/USD," 105,84 ",0.094195," 3,85 "," 1.560,07 "," 1.560,07 ",3033403631,CFD," 0,00 "
03/06/2025 17:23:55,Open Position,NSDQ100/USD," 101,99 ",0.09393," 0,00 "," 1.560,07 "," 1.458,08 ",3033461044,CFD," 0,00 "
03/06/2025 19:29:42,Position closed,NSDQ100/USD," 97,75 ",0.09393,"(4,24)"," 1.555,83 "," 1.555,83 ",3033461044,CFD," 0,00 "
04/06/2025 10:49:08,Open Position,NSDQ100/USD," 69,98 ",0.064502," 0,00 "," 1.555,83 "," 1.485,85 ",3033915995,CFD," 0,00 "
04/06/2025 13:35:53,Position closed,NSDQ100/USD," 70,84 ",0.064502," 0,86 "," 1.556,69 "," 1.556,69 ",3033915995,CFD," 0,00 "
04/06/2025 14:12:03,Open Position,NSDQ100/USD," 101,98 ",0.094103," 0,00 "," 1.556,69 "," 1.454,71 ",3034254604,CFD," 0,00 "
04/06/2025 15:12:35,Position closed,NSDQ100/USD," 107,69 ",0.094103," 5,71 "," 1.562,40 "," 1.562,40 ",3034254604,CFD," 0,00 "
04/06/2025 16:30:59,Open Position,NSDQ100/USD," 129,98 ",0.119858," 0,00 "," 1.562,40 "," 1.432,42 ",3034463428,CFD," 0,00 "
04/06/2025 17:01:21,Position closed,NSDQ100/USD," 133,36 ",0.119858," 3,38 "," 1.565,78 "," 1.565,78 ",3034463428,CFD," 0,00 "
04/06/2025 20:04:00,Open Position,NSDQ100/USD," 101,98 ",0.09395," 0,00 "," 1.565,78 "," 1.463,80 ",3034589121,CFD," 0,00 "
04/06/2025 23:12:34,Overnight fee,Daily,"(0,49)",-,"(0,49)"," 1.565,29 "," 1.463,31 ",3034589121,CFD," 0,00 "
