Date,Type,Details,Amount,Units / Contracts,Realized Equity Change,Realized Equity,Balance,Position ID,Asset type,NWA
03/03/2025 08:20:03,Open Position,NSDQ100/USD," 149,98 ",0.143628," 0,00 "," 2.073,96 "," 222,83 ",2956045741,CFD," 0,00 "
03/03/2025 08:46:00,Position closed,NSDQ100/USD," 153,08 ",0.143628," 3,10 "," 2.077,06 "," 375,91 ",2956045741,CFD," 0,00 "
03/03/2025 09:53:28,Position closed,NSDQ100/USD," 50,05 ",0.042296,"(3,19)"," 2.073,87 "," 425,96 ",2956124153,CFD," 0,00 "
03/03/2025 12:15:14,Position closed,NSDQ100/USD," 127,60 ",0.100333," 1,32 "," 2.075,19 "," 553,56 ",2954013747,CFD," 0,00 "
03/03/2025 13:22:44,Position closed,NSDQ100/USD," 50,03 ",0.040442,"(4,90)"," 2.070,29 "," 603,59 ",2956288490,CFD," 0,00 "
03/03/2025 15:01:26,Open Position,NSDQ100/USD," 50,00 ",0.048137," 0,00 "," 2.070,29 "," 553,59 ",2957033196,CFD," 0,00 "
03/03/2025 15:01:54,Open Position,NSDQ100/USD," 99,98 ",0.096204," 0,00 "," 2.070,29 "," 453,61 ",2957034165,CFD," 0,00 "
03/03/2025 15:04:24,Position closed,NSDQ100/USD," 50,70 ",0.048137," 0,70 "," 2.070,99 "," 504,31 ",2957033196,CFD," 0,00 "
03/03/2025 15:07:52,Position closed,NSDQ100/USD," 103,20 ",0.096204," 3,22 "," 2.074,21 "," 607,51 ",2957034165,CFD," 0,00 "
03/03/2025 15:08:07,Open Position,NSDQ100/USD," 150,00 ",0.144167," 0,00 "," 2.074,21 "," 457,51 ",2957067003,CFD," 0,00 "
03/03/2025 15:08:25,Position closed,NSDQ100/USD," 148,34 ",0.144167,"(1,66)"," 2.072,55 "," 605,85 ",2957067003,CFD," 0,00 "
03/03/2025 15:08:45,Open Position,NSDQ100/USD," 49,99 ",0.048079," 0,00 "," 2.072,55 "," 555,86 ",2957069685,CFD," 0,00 "
