Position ID,Action,Long / Short,Amount,Units / Contracts,Open Date,Close Date,Leverage,Spread Fees (USD),Market Spread (USD),Profit(USD),FX rate at open (USD),FX rate at close (USD),Open Rate,Close Rate,Take profit rate,Stop loss rate,Overnight Fees and Dividends,Copied From,Type,ISIN,Notes
3036537648,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 150,00 ",0.137877,06/06/2025 16:29:13,06/06/2025 17:34:40,20," 0,44 ",0.00," 1,51 ",-,-," 21.758,53 "," 21.769,47 "," 21.773,04 "," 21.214,57 "," 0,00 ",-,CFD,US6311011026,
3036507695,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 119,99 ",0.110222,06/06/2025 15:44:49,06/06/2025 16:11:19,20," 0,36 ",0.00," 2,95 ",-,-," 21.773,43 "," 21.800,16 "," 21.800,00 "," 21.229,84 "," 0,00 ",-,CFD,US6311011026,
3036005049,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 138,00 ",0.126995,06/06/2025 12:43:18,06/06/2025 14:40:47,20," 0,42 ",0.00," 7,50 ",-,-," 21.733,03 "," 21.792,07 "," 22.272,46 "," 21.189,71 "," 0,00 ",-,CFD,US6311011026,
3035569956,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 54,86 ",0.04245,05/06/2025 17:35:47,06/06/2025 12:32:45,20," 0,14 ",0.00,"(1,90)",-,-," 21.748,73 "," 21.703,87 "," 22.293,43 "," 21.000,00 ","(0,10)",-,CFD,US6311011026,
3035989365,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 66,35 ",0.051339,05/06/2025 17:35:47,06/06/2025 12:01:13,20," 0,16 ",0.00,"(5,56)",-,-," 21.748,73 "," 21.640,48 "," 22.293,43 "," 21.000,00 ","(0,12)",-,CFD,US6311011026,
3035893467,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 119,99 ",0.110875,06/06/2025 07:01:00,06/06/2025 10:21:19,20," 0,36 ",0.00," 0,90 ",-,-," 21.646,42 "," 21.654,58 "," 21.710,00 "," 21.105,28 "," 0,00 ",-,CFD,US6311011026,
3035733829,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 150,00 ",0.139073,05/06/2025 19:52:36,06/06/2025 04:50:09,20," 0,46 ",0.00," 4,01 ",-,-," 21.571,72 "," 21.600,58 "," 21.600,00 "," 21.032,44 ","(0,30)",-,CFD,US6311011026,
3035682319,"Tesla Motors, Inc. (TSLA.EXT)",Long," 119,99 ",2.084483,05/06/2025 19:37:31,06/06/2025 04:44:22,5," 1,85 ",-0.11," 31,00 ",-,-," 287,84 "," 302,72 "," 863,47 "," 259,29 ","(0,17)",-,CFD,US88160R1014,
3035792963,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 119,99 ",0.111616,05/06/2025 20:45:53,06/06/2025 00:07:45,20," 0,36 ",0.00," 5,01 ",-,-," 21.501,51 "," 21.546,38 "," 21.546,31 "," 20.964,57 ","(0,58)",-,CFD,US6311011026,
3035674381,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 150,00 ",0.139158,05/06/2025 19:30:12,05/06/2025 19:37:47,20," 0,46 ",0.00," 9,00 ",-,-," 21.558,22 "," 21.622,88 "," 22.094,15 "," 21.019,27 "," 0,00 ",-,CFD,US6311011026,
