Position ID,Action,Long / Short,Amount,Units / Contracts,Open Date,Close Date,Leverage,Spread Fees (USD),Market Spread (USD),Profit(USD),FX rate at open (USD),FX rate at close (USD),Open Rate,Close Rate,Take profit rate,Stop loss rate,Overnight Fees and Dividends,Copied From,Type,ISIN,Notes
2974535456,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 50,00 ",0.050757,20/03/2025 22:40:55,21/03/2025 20:02:15,20," 0,15 ",0.00," 2,90 ",-,-," 19.701,59 "," 19.758,82 "," 20.193,98 "," 19.209,05 "," 0,00 ",-,CFD,US6311011026,
2975111383,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 49,99 ",0.050874,21/03/2025 16:53:44,21/03/2025 19:47:58,20," 0,15 ",0.00,"(0,06)",-,-," 19.654,83 "," 19.653,58 "," 20.148,08 "," 19.165,24 "," 0,00 ",-,CFD,US6311011026,
2974931664,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 69,98 ",0.071646,21/03/2025 13:58:04,21/03/2025 16:53:26,20," 0,21 ",0.00," 8,24 ",-,-," 19.537,63 "," 19.652,68 "," 20.020,01 "," 19.049,26 "," 0,00 ",-,CFD,US6311011026,
2974932012,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 50,00 ",0.051153,21/03/2025 13:58:33,21/03/2025 16:53:14,20," 0,15 ",0.00," 5,34 ",-,-," 19.548,93 "," 19.653,23 "," 20.036,42 "," 19.060,21 "," 0,00 ",-,CFD,US6311011026,
2972035027,Gold (Non Expiry) (GOLD),Short," 70,00 ",0.466781,17/03/2025 14:49:25,21/03/2025 13:58:18,20," 0,35 ",-0.01,"(3,09)",-,-," 2.999,26 "," 3.005,88 "," 2.977,84 "," 3.074,12 "," 0,06 ",-,CFD,,
2974809726,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 50,00 ",0.051322,21/03/2025 13:43:49,21/03/2025 13:57:49,20," 0,15 ",0.00," 2,34 ",-,-," 19.485,32 "," 19.530,99 "," 19.974,94 "," 19.000,56 "," 0,00 ",-,CFD,US6311011026,
2972305232,Gold (Non Expiry) (GOLD),Short," 50,00 ",0.333395,17/03/2025 19:25:04,21/03/2025 13:57:41,20," 0,25 ",0.00,"(2,82)",-,-," 2.999,44 "," 3.007,91 "," 2.924,42 "," 3.074,40 "," 0,05 ",-,CFD,,
2974801512,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 49,99 ",0.051363,21/03/2025 13:41:25,21/03/2025 13:43:39,20," 0,15 ",0.00," 0,92 ",-,-," 19.468,62 "," 19.486,54 "," 19.954,59 "," 18.981,89 "," 0,00 ",-,CFD,US6311011026,
2974801058,Gold (Non Expiry) (GOLD),Long," 49,99 ",0.331169,21/03/2025 13:41:12,21/03/2025 13:43:26,20," 0,25 ",0.00,"(1,09)",-,-," 3.019,39 "," 3.016,09 "," 3.094,72 "," 2.943,90 "," 0,00 ",-,CFD,,
2973285051,NASDAQ100 Index (Non Expiry) (NSDQ100),Short," 49,99 ",0.051255,19/03/2025 09:25:57,21/03/2025 13:38:38,20," 0,15 ",0.00," 3,56 ",-,-," 19.510,14 "," 19.440,62 "," 19.022,29 "," 19.997,79 ","(0,17)",-,CFD,US6311011026,
2972985994,NASDAQ100 Index (Non Expiry) (NSDQ100),Short," 49,99 ",0.051423,18/03/2025 18:05:52,21/03/2025 13:37:58,20," 0,15 ",0.00," 0,72 ",-,-," 19.446,39 "," 19.432,46 "," 18.961,38 "," 19.932,55 ","(0,21)",-,CFD,US6311011026,
2974426030,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 50,00 ",0.050824,20/03/2025 16:31:22,20/03/2025 20:45:20,20," 0,15 ",0.00," 0,51 ",-,-," 19.676,68 "," 19.686,62 "," 20.168,04 "," 19.184,79 "," 0,00 ",-,CFD,US6311011026,
2974032000,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 50,00 ",0.05094,20/03/2025 11:57:12,20/03/2025 15:05:01,20," 0,15 ",0.00," 8,95 ",-,-," 19.630,68 "," 19.806,36 "," 20.121,65 "," 19.140,11 "," 0,00 ",-,CFD,US6311011026,
2974016688,Gold (Non Expiry) (GOLD),Long," 49,99 ",0.329828,20/03/2025 11:14:55,20/03/2025 12:10:07,20," 0,25 ",0.00," 1,13 ",-,-," 3.031,86 "," 3.035,28 "," 3.107,65 "," 2.956,07 "," 0,00 ",-,CFD,,
