Position ID,Action,Long / Short,Amount,Units / Contracts,Open Date,Close Date,Leverage,Spread Fees (USD),Market Spread (USD),Profit(USD),FX rate at open (USD),FX rate at close (USD),Open Rate,Close Rate,Take profit rate,Stop loss rate,Overnight Fees and Dividends,Copied From,Type,ISIN,Notes
3096350322,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 119,99 ",0.102408,07/08/2025 22:06:10,07/08/2025 22:25:19,20," 0,36 ",0.00," 2,57 ",-,-," 23.435,57 "," 23.460,64 "," 24.021,31 "," 22.849,68 "," 0,00 ",-,CFD,US6311011026,
3096037155,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 119,98 ",0.102334,07/08/2025 15:00:45,07/08/2025 22:24:29,20," 0,36 ",0.00," 1,17 ",-,-," 23.450,32 "," 23.461,74 "," 23.460,00 "," 22.865,23 ","(0,46)",-,CFD,US6311011026,
3096335329,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 119,99 ",0.102547,07/08/2025 20:37:28,07/08/2025 22:05:36,20," 0,36 ",0.00," 2,43 ",-,-," 23.404,47 "," 23.428,14 "," 23.450,00 "," 22.819,38 ","(0,57)",-,CFD,US6311011026,
3096319859,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 100,99 ",0.086451,07/08/2025 19:58:17,07/08/2025 20:36:33,20," 0,30 ",0.00," 2,24 ",-,-," 23.365,61 "," 23.391,55 "," 23.948,76 "," 22.781,47 "," 0,09 ",-,CFD,US6311011026,
3096160388,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 101,99 ",0.087512,07/08/2025 16:45:29,07/08/2025 19:57:39,20," 0,30 ",0.00," 4,44 ",-,-," 23.310,61 "," 23.361,30 "," 23.895,75 "," 22.730,11 "," 0,00 ",-,CFD,US6311011026,
3096246545,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 199,98 ",0.172065,07/08/2025 18:20:05,07/08/2025 19:03:35,20," 0,60 ",0.00," 8,64 ",-,-," 23.245,80 "," 23.296,00 "," 23.821,28 "," 22.664,69 "," 0,00 ",-,CFD,US6311011026,
3095890842,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 140,00 ",0.118896,07/08/2025 14:07:05,07/08/2025 15:00:07,20," 0,42 ",0.00,"(13,34)",-,-," 23.549,83 "," 23.437,59 "," 24.133,25 "," 22.961,09 "," 0,00 ",-,CFD,US6311011026,
3095936339,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 100,99 ",0.08595,07/08/2025 14:16:52,07/08/2025 15:00:07,20," 0,30 ",0.00,"(5,48)",-,-," 23.501,32 "," 23.437,59 "," 24.089,18 "," 22.914,10 "," 0,00 ",-,CFD,US6311011026,
3095346914,NASDAQ100 Index (Non Expiry) (NSDQ100),Short," 100,99 ",0.086341,07/08/2025 07:47:04,07/08/2025 15:00:07,20," 0,30 ",0.00,"(4,02)",-,-," 23.394,85 "," 23.441,46 "," 22.810,76 "," 23.979,74 "," 0,00 ",-,CFD,US6311011026,
3095977731,NASDAQ100 Index (Non Expiry) (NSDQ100),Short," 121,99 ",0.10408,07/08/2025 14:28:06,07/08/2025 15:00:03,20," 0,36 ",0.00," 0,42 ",-,-," 23.442,14 "," 23.438,06 "," 22.858,75 "," 24.028,22 "," 0,00 ",-,CFD,US6311011026,
