Position ID,Action,Long / Short,Amount,Units / Contracts,Open Date,Close Date,Leverage,Spread Fees (USD),Market Spread (USD),Profit(USD),FX rate at open (USD),FX rate at close (USD),Open Rate,Close Rate,Take profit rate,Stop loss rate,Overnight Fees and Dividends,Copied From,Type,ISIN,Notes
3055429646,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 129,99 ",0.057524,30/06/2025 18:12:25,30/06/2025 19:32:03,10," 0,20 ",0.00," 3,35 ",-,-," 22.599,55 "," 22.657,85 "," 23.729,40 "," 21.469,59 "," 0,00 ",-,CFD,US6311011026,
3055233139,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 101,99 ",0.09008,30/06/2025 16:10:57,30/06/2025 16:20:06,20," 0,30 ",0.00,"(2,18)",-,-," 22.646,50 "," 22.622,25 "," 23.212,72 "," 22.080,40 "," 0,00 ",-,CFD,US6311011026,
3055186141,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 140,00 ",0.123751,30/06/2025 15:46:40,30/06/2025 16:10:39,20," 0,42 ",0.00," 2,26 ",-,-," 22.626,20 "," 22.644,45 "," 23.191,97 "," 22.060,65 "," 0,00 ",-,CFD,US6311011026,
3054635414,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 129,98 ",0.114944,30/06/2025 13:38:02,30/06/2025 15:46:25,20," 0,40 ",0.00," 0,79 ",-,-," 22.617,86 "," 22.624,75 "," 23.181,99 "," 22.052,46 "," 0,00 ",-,CFD,US6311011026,
3054374396,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 101,99 ",0.09008,30/06/2025 12:43:31,30/06/2025 13:10:24,20," 0,30 ",0.00," 0,29 ",-,-," 22.646,71 "," 22.649,90 "," 23.212,83 "," 22.080,55 "," 0,00 ",-,CFD,US6311011026,
3054060049,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 69,99 ",0.061803,30/06/2025 07:45:36,30/06/2025 07:54:40,20," 0,22 ",0.00,"(0,13)",-,-," 22.652,51 "," 22.650,40 "," 23.219,85 "," 22.087,17 "," 0,00 ",-,CFD,US6311011026,
3053923934,NASDAQ100 Index (Non Expiry) (NSDQ100),Short," 100,00 ",0.044106,30/06/2025 06:26:24,30/06/2025 07:37:52,10," 0,14 ",0.00," 1,12 ",-,-," 22.673,00 "," 22.647,61 "," 21.538,69 "," 23.805,92 "," 0,00 ",-,CFD,US6311011026,
3053680187,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 100,99 ",0.044875,27/06/2025 18:01:09,27/06/2025 18:12:04,10," 0,16 ",0.00," 0,11 ",-,-," 22.506,69 "," 22.509,06 "," 23.632,09 "," 21.381,41 "," 0,00 ",-,CFD,US6311011026,
3052762147,NASDAQ100 Index (Non Expiry) (NSDQ100),Short," 77,29 ",0.068898,26/06/2025 19:39:31,27/06/2025 18:00:34,20," 0,23 ",0.00,"(5,66)",-,-," 22.436,77 "," 22.518,95 "," 22.300,00 "," 22.997,68 ","(0,06)",-,CFD,US6311011026,
3053567392,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 101,99 ",0.045152,27/06/2025 16:05:36,27/06/2025 18:00:34,10," 0,16 ",0.00,"(3,36)",-,-," 22.589,95 "," 22.515,51 "," 23.720,08 "," 21.461,02 "," 0,00 ",-,CFD,US6311011026,
