Date,Type,Details,Amount,Units,Realized Equity Change,Realized Equity,Balance,Position ID,Asset type,NWA
05/08/2024 13:27:30,Deposit,1100.00 USDRON CreditCard," 236,11 ",-," 236,11 "," 251,55 "," 241,55 ",-,-," 0,00 "
05/08/2024 13:27:30,Deposit Conversion Fee,-,"(7,05)",-," 0,00 "," 251,55 "," 241,55 ",-,-," 0,00 "
05/08/2024 13:34:17,Open Position,NSDQ100/USD," 50,00 ",0.057045," 0,00 "," 251,55 "," 191,55 ",2784254776,CFD," 0,00 "
05/08/2024 13:35:39,Position closed,BTC/USD," 12,05 ",0.000238," 2,05 "," 253,60 "," 203,60 ",1459273952,Crypto," 0,00 "
05/08/2024 14:01:04,Position closed,NSDQ100/USD," 72,93 ",0.057045," 22,93 "," 276,53 "," 276,53 ",2784254776,CFD," 0,00 "
05/08/2024 14:43:38,Open Position,NSDQ100/USD," 49,98 ",0.055923," 0,00 "," 276,53 "," 226,55 ",2785293100,CFD," 0,00 "
05/08/2024 14:49:05,Open Position,AAPL/USD," 59,99 ",1.431818," 0,00 "," 276,53 "," 166,56 ",2785304301,CFD," 0,00 "
05/08/2024 14:54:39,Open Position,JPN225/JPY," 49,98 ",4.330153," 0,00 "," 276,53 "," 116,58 ",2785315968,CFD," 0,00 "
05/08/2024 15:03:49,Position closed,AAPL/USD," 61,15 ",1.431818," 1,16 "," 277,69 "," 177,73 ",2785304301,CFD," 0,00 "
05/08/2024 15:08:16,Position closed,JPN225/JPY," 51,42 ",4.330153," 1,44 "," 279,13 "," 229,15 ",2785315968,CFD," 0,00 "
05/08/2024 15:13:36,Open Position,NSDQ100/USD," 59,99 ",0.066691," 0,00 "," 279,13 "," 169,16 ",2785357635,CFD," 0,00 "
05/08/2024 15:44:06,Open Position,NSDQ100/USD," 50,00 ",0.055635," 0,00 "," 279,13 "," 119,16 ",2785425523,CFD," 0,00 "
05/08/2024 15:59:56,Position closed,NSDQ100/USD," 51,26 ",0.055635," 1,26 "," 280,39 "," 170,42 ",2785425523,CFD," 0,00 "
05/08/2024 16:03:53,Open Position,NSDQ100/USD," 49,99 ",0.055455," 0,00 "," 280,39 "," 120,43 ",2785473213,CFD," 0,00 "
05/08/2024 16:06:32,Position closed,NSDQ100/USD," 60,08 ",0.066691," 0,09 "," 280,48 "," 180,51 ",2785357635,CFD," 0,00 "
05/08/2024 16:14:05,Open Position,NSDQ100/USD," 50,00 ",0.055387," 0,00 "," 280,48 "," 130,51 ",2785492533,CFD," 0,00 "
05/08/2024 16:14:15,Position closed,NSDQ100/USD," 50,05 ",0.055387," 0,05 "," 280,53 "," 180,56 ",2785492533,CFD," 0,00 "
05/08/2024 16:14:41,Open Position,NSDQ100/USD," 49,99 ",0.055408," 0,00 "," 280,53 "," 130,57 ",2785493215,CFD," 0,00 "
05/08/2024 16:19:53,Open Position,NSDQ100/USD," 49,99 ",0.055285," 0,00 "," 280,53 "," 80,58 ",2785524484,CFD," 0,00 "
05/08/2024 16:29:08,Open Position,NSDQ100/USD," 49,99 ",0.055037," 0,00 "," 280,53 "," 30,59 ",2785540725,CFD," 0,00 "
05/08/2024 16:32:07,Position closed,NSDQ100/USD," 52,97 ",0.055037," 2,98 "," 283,51 "," 83,56 ",2785540725,CFD," 0,00 "
05/08/2024 16:33:29,Position closed,NSDQ100/USD," 49,62 ",0.055285,"(0,37)"," 283,14 "," 133,18 ",2785524484,CFD," 0,00 "
05/08/2024 16:34:37,Open Position,NSDQ100/USD," 50,00 ",0.055329," 0,00 "," 283,14 "," 83,18 ",2785553894,CFD," 0,00 "
05/08/2024 16:37:20,Position closed,NSDQ100/USD," 50,60 ",0.055408," 0,61 "," 283,75 "," 133,78 ",2785493215,CFD," 0,00 "
05/08/2024 16:37:39,Position closed,NSDQ100/USD," 49,99 ",0.055455," 0,00 "," 283,75 "," 183,77 ",2785473213,CFD," 0,00 "
05/08/2024 16:47:50,Open Position,NSDQ100/USD," 50,00 ",0.055579," 0,00 "," 283,75 "," 133,77 ",2785585883,CFD," 0,00 "
05/08/2024 18:46:11,Position closed,NSDQ100/USD," 53,47 ",0.055923," 3,49 "," 287,24 "," 187,24 ",2785293100,CFD," 0,00 "
05/08/2024 19:13:31,Open Position,NSDQ100/USD," 49,99 ",0.056129," 0,00 "," 287,24 "," 137,25 ",2785825227,CFD," 0,00 "
05/08/2024 22:27:30,Position closed,NSDQ100/USD," 57,66 ",0.055579," 7,66 "," 294,90 "," 194,91 ",2785585883,CFD," 0,00 "
05/08/2024 22:27:38,Position closed,NSDQ100/USD," 53,03 ",0.055329," 3,03 "," 297,93 "," 247,94 ",2785553894,CFD," 0,00 "
05/08/2024 22:32:25,Open Position,USD/JPY," 50,00 ",1500.000000," 0,00 "," 297,93 "," 197,94 ",2785899814,CFD," 0,00 "
05/08/2024 22:38:13,Position closed,USD/JPY," 51,07 ",1500.000000," 1,07 "," 299,00 "," 249,01 ",2785899814,CFD," 0,00 "
05/08/2024 22:46:08,Open Position,XAU/USD," 49,99 ",0.415208," 0,00 "," 299,00 "," 199,02 ",2785902324,CFD," 0,00 "
05/08/2024 22:47:29,Open Position,NSDQ100/USD," 50,00 ",0.055229," 0,00 "," 299,00 "," 149,02 ",2785902471,CFD," 0,00 "
06/08/2024 00:41:58,Dividend,NSDQ100/USD," 0,01 ",-," 0,01 "," 299,01 "," 149,03 ",2785553894,CFD," 0,00 "
06/08/2024 00:41:58,Dividend,NSDQ100/USD," 0,01 ",-," 0,01 "," 299,02 "," 149,04 ",2785585883,CFD," 0,00 "
06/08/2024 00:41:58,Dividend,NSDQ100/USD,"(0,02)",-,"(0,02)"," 299,00 "," 149,02 ",2785825227,CFD," 0,00 "
06/08/2024 00:48:15,Overnight refund,Daily," 0,01 ",-," 0,01 "," 299,01 "," 149,03 ",2785825227,CFD," 0,00 "
06/08/2024 00:48:15,Overnight fee,Daily,"(0,26)",-,"(0,26)"," 298,75 "," 148,77 ",2785553894,CFD," 0,00 "
06/08/2024 00:48:15,Overnight fee,Daily,"(0,27)",-,"(0,27)"," 298,48 "," 148,50 ",2785585883,CFD," 0,00 "
06/08/2024 01:09:42,Position closed,NSDQ100/USD," 24,95 ",0.056129,"(25,04)"," 273,44 "," 173,45 ",2785825227,CFD," 0,00 "
06/08/2024 04:51:42,Position closed,NSDQ100/USD," 56,42 ",0.055229," 6,42 "," 279,86 "," 229,87 ",2785902471,CFD," 0,00 "
06/08/2024 06:00:30,Open Position,NSDQ100/USD," 50,00 ",0.054868," 0,00 "," 279,86 "," 179,87 ",2785978514,CFD," 0,00 "
06/08/2024 06:08:01,Position closed,XAU/USD," 54,77 ",0.415208," 4,78 "," 284,64 "," 234,64 ",2785902324,CFD," 0,00 "
06/08/2024 06:11:57,Open Position,USD/JPY," 49,99 ",1500.000000," 0,00 "," 284,64 "," 184,65 ",2785981742,CFD," 0,00 "
06/08/2024 07:42:34,Position closed,USD/JPY," 52,28 ",1500.000000," 2,29 "," 286,93 "," 236,93 ",2785981742,CFD," 0,00 "
06/08/2024 08:13:10,Open Position,USD/JPY," 99,99 ",3000.000000," 0,00 "," 286,93 "," 136,94 ",2786092401,CFD," 0,00 "
06/08/2024 08:19:06,Position closed,USD/JPY," 106,34 ",3000.000000," 6,35 "," 293,28 "," 243,28 ",2786092401,CFD," 0,00 "
06/08/2024 08:24:02,Open Position,USD/JPY," 100,00 ",3000.000000," 0,00 "," 293,28 "," 143,28 ",2786097761,CFD," 0,00 "
06/08/2024 08:25:59,Open Position,XAU/USD," 49,99 ",0.414619," 0,00 "," 293,28 "," 93,29 ",2786098366,CFD," 0,00 "
06/08/2024 08:29:10,Position closed,USD/JPY," 102,42 ",3000.000000," 2,42 "," 295,70 "," 195,71 ",2786097761,CFD," 0,00 "
06/08/2024 08:30:04,Open Position,USD/JPY," 149,99 ",4500.000000," 0,00 "," 295,70 "," 45,72 ",2786100428,CFD," 0,00 "
06/08/2024 09:01:46,Position closed,USD/JPY," 157,83 ",4500.000000," 7,84 "," 303,54 "," 203,55 ",2786100428,CFD," 0,00 "
06/08/2024 09:06:22,Open Position,USD/JPY," 149,99 ",4500.000000," 0,00 "," 303,54 "," 53,56 ",2786113841,CFD," 0,00 "
06/08/2024 09:22:00,Position closed,USD/JPY," 155,89 ",4500.000000," 5,90 "," 309,44 "," 209,45 ",2786113841,CFD," 0,00 "
06/08/2024 09:29:47,Open Position,USD/JPY," 149,99 ",4500.000000," 0,00 "," 309,44 "," 59,46 ",2786122017,CFD," 0,00 "
06/08/2024 09:38:36,Position closed,USD/JPY," 157,49 ",4500.000000," 7,50 "," 316,94 "," 216,95 ",2786122017,CFD," 0,00 "
06/08/2024 09:40:37,Open Position,VIX.SEP24/USD," 99,99 ",36.166365," 0,00 "," 316,94 "," 116,96 ",2786125817,CFD," 0,00 "
06/08/2024 09:47:50,Position closed,VIX.SEP24/USD," 101,80 ",36.166365," 1,81 "," 318,75 "," 218,76 ",2786125817,CFD," 0,00 "
06/08/2024 09:51:09,Open Position,XAU/USD," 59,99 ",0.497372," 0,00 "," 318,75 "," 158,77 ",2786128978,CFD," 0,00 "
06/08/2024 09:53:10,Open Position,NSDQ100/USD," 50,00 ",0.055716," 0,00 "," 318,75 "," 108,77 ",2786129582,CFD," 0,00 "
06/08/2024 10:06:00,Open Position,USD/JPY," 100,00 ",3000.000000," 0,00 "," 318,75 "," 8,77 ",2786134118,CFD," 0,00 "
06/08/2024 10:14:27,Position closed,NSDQ100/USD," 52,45 ",0.055716," 2,45 "," 321,20 "," 61,22 ",2786129582,CFD," 0,00 "
06/08/2024 10:27:41,Position closed,USD/JPY," 103,40 ",3000.000000," 3,40 "," 324,60 "," 164,62 ",2786134118,CFD," 0,00 "
