Position ID,Action,Long / Short,Amount,Units,Open Date,Close Date,Leverage,Spread Fees (USD),Market Spread (USD),Profit(USD),FX rate at open (USD),FX rate at close (USD),Open Rate,Close Rate,Take profit rate,Stop loss rate,Overnight Fees and Dividends,Copied From,Type,Notes
2917605310,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 200,00 ",0.186086,17/01/2025 18:06:48,17/01/2025 19:05:36,20," 0,60 ",0.00,"(2,97)",-,-," 21.495,47 "," 21.479,53 "," 22.032,75 "," 20.958,09 "," 0,00 ",-,CFD,
2917643939,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 249,99 ",0.232794,17/01/2025 18:51:21,17/01/2025 19:00:13,20," 0,75 ",0.00," 0,81 ",-,-," 21.478,17 "," 21.481,63 "," 22.014,82 "," 20.941,22 "," 0,00 ",-,CFD,
2917026178,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 449,99 ",0.418469,17/01/2025 14:29:03,17/01/2025 18:06:18,20," 1,35 ",-0.01,"(6,19)",-,-," 21.506,92 "," 21.492,13 "," 22.045,31 "," 20.969,25 "," 0,00 ",-,CFD,
2917569999,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 200,00 ",0.186257,17/01/2025 17:32:23,17/01/2025 18:06:18,20," 0,60 ",0.00," 3,07 ",-,-," 21.475,67 "," 21.492,13 "," 22.014,10 "," 20.938,78 "," 0,00 ",-,CFD,
2917525166,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 249,99 ",0.233071,17/01/2025 16:43:35,17/01/2025 17:31:41,20," 0,75 ",-0.01," 4,96 ",-,-," 21.452,66 "," 21.473,93 "," 21.989,28 "," 20.916,35 "," 0,00 ",-,CFD,
2917497391,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 249,99 ",0.233022,17/01/2025 16:22:58,17/01/2025 16:39:43,20," 0,75 ",0.00," 2,09 ",-,-," 21.457,16 "," 21.466,13 "," 21.500,69 "," 20.920,73 "," 0,00 ",-,CFD,
2917472787,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,99 ",0.139901,17/01/2025 16:07:20,17/01/2025 16:22:47,20," 0,45 ",0.00," 1,54 ",-,-," 21.443,66 "," 21.454,64 "," 21.980,06 "," 20.907,57 "," 0,00 ",-,CFD,
2917446900,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 200,00 ",0.186783,17/01/2025 15:50:44,17/01/2025 16:07:04,20," 0,60 ",0.00," 5,04 ",-,-," 21.415,16 "," 21.442,14 "," 21.950,23 "," 20.879,78 "," 0,00 ",-,CFD,
2917437728,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,98 ",0.140160,17/01/2025 15:44:26,17/01/2025 15:44:35,20," 0,45 ",0.00,"(0,37)",-,-," 21.402,76 "," 21.400,14 "," 21.945,93 "," 20.872,25 "," 0,00 ",-,CFD,
2917418752,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,99 ",0.140197,17/01/2025 15:33:21,17/01/2025 15:43:19,20," 0,45 ",0.00," 1,06 ",-,-," 21.398,36 "," 21.405,94 "," 21.934,14 "," 20.863,40 "," 0,00 ",-,CFD,
2917347912,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 249,99 ",0.233697,17/01/2025 15:03:27,17/01/2025 15:32:22,20," 0,75 ",0.00," 0,35 ",-,-," 21.395,16 "," 21.396,64 "," 21.420,35 "," 20.860,28 "," 0,00 ",-,CFD,
2917344105,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 249,99 ",0.233904,17/01/2025 15:01:16,17/01/2025 15:03:17,20," 0,75 ",0.00," 1,61 ",-,-," 21.376,26 "," 21.383,14 "," 21.912,92 "," 20.841,86 "," 0,00 ",-,CFD,
2917245419,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 200,00 ",0.187088,17/01/2025 14:49:42,17/01/2025 15:00:31,20," 0,60 ",0.00,"(0,19)",-,-," 21.380,46 "," 21.379,44 "," 21.911,18 "," 20.845,96 "," 0,00 ",-,CFD,
2917115551,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 299,99 ",0.280007,17/01/2025 14:31:55,17/01/2025 14:48:54,20," 0,90 ",0.00,"(13,98)",-,-," 21.427,96 "," 21.378,04 "," 21.960,89 "," 20.892,26 "," 0,00 ",-,CFD,
2917023464,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 300,00 ",0.279720,17/01/2025 14:23:03,17/01/2025 14:28:45,20," 0,90 ",-0.01," 14,34 ",-,-," 21.450,01 "," 21.501,28 "," 21.985,85 "," 20.913,76 "," 0,00 ",-,CFD,
