Date,Type,Details,Amount,Units / Contracts,Realized Equity Change,Realized Equity,Balance,Position ID,Asset type,NWA
02/02/2025 23:00:51,Position closed,NSDQ100/USD," 107,64 ",0.277176,"(221,18)"," 6.640,81 "," 4.315,75 ",2930506180,CFD," 0,00 "
02/02/2025 23:00:51,Position closed,NSDQ100/USD," 84,88 ",0.223094,"(155,44)"," 6.485,37 "," 4.400,63 ",2930585106,CFD," 0,00 "
02/02/2025 23:00:51,Position closed,NSDQ100/USD," 129,23 ",0.279601,"(170,76)"," 6.314,61 "," 4.529,86 ",2930748903,CFD," 0,00 "
02/02/2025 23:00:51,Position closed,NSDQ100/USD," 102,54 ",0.232747,"(147,44)"," 6.167,17 "," 4.632,40 ",2930740280,CFD," 0,00 "
02/02/2025 23:00:51,Position closed,NSDQ100/USD," 93,23 ",0.232345,"(156,76)"," 6.010,41 "," 4.725,63 ",2930719367,CFD," 0,00 "
02/02/2025 23:05:33,Open Position,NSDQ100/USD," 250,00 ",0.238762," 0,00 "," 6.010,41 "," 4.475,63 ",2931048960,CFD," 0,00 "
02/02/2025 23:05:53,Position closed,NSDQ100/USD," 253,11 ",0.238762," 3,11 "," 6.013,52 "," 4.728,74 ",2931048960,CFD," 0,00 "
02/02/2025 23:06:33,Open Position,NSDQ100/USD," 300,00 ",0.286668," 0,00 "," 6.013,52 "," 4.428,74 ",2931050887,CFD," 0,00 "
02/02/2025 23:07:10,Position closed,NSDQ100/USD," 296,43 ",0.286668,"(3,57)"," 6.009,95 "," 4.725,17 ",2931050887,CFD," 0,00 "
02/02/2025 23:08:23,Open Position,NSDQ100/USD," 250,00 ",0.238514," 0,00 "," 6.009,95 "," 4.475,17 ",2931052443,CFD," 0,00 "
02/02/2025 23:08:59,Position closed,NSDQ100/USD," 251,89 ",0.238514," 1,89 "," 6.011,84 "," 4.727,06 ",2931052443,CFD," 0,00 "
02/02/2025 23:09:14,Open Position,NSDQ100/USD," 343,40 ",0.262073," 0,00 "," 6.011,84 "," 4.452,06 ",2931053491,CFD," 0,00 "
02/02/2025 23:18:56,Edit Stop Loss,-,"(68,40)",-," 0,00 "," 6.011,84 "," 4.383,66 ",2931053491,-," 0,00 "
02/02/2025 23:54:24,Position closed,NSDQ100/USD," 346,92 ",0.262073," 3,52 "," 6.015,36 "," 4.730,58 ",2931053491,CFD," 0,00 "
03/02/2025 00:01:00,Open Position,NSDQ100/USD," 232,55 ",0.190495," 0,00 "," 6.015,36 "," 4.530,60 ",2931075228,CFD," 0,00 "
03/02/2025 00:01:13,Edit Stop Loss,-,"(32,57)",-," 0,00 "," 6.015,36 "," 4.498,03 ",2931075228,-," 0,00 "
03/02/2025 00:04:16,Position closed,NSDQ100/USD," 233,95 ",0.190495," 1,40 "," 6.016,76 "," 4.731,98 ",2931075228,CFD," 0,00 "
03/02/2025 00:04:57,Open Position,NSDQ100/USD," 293,08 ",0.238033," 0,00 "," 6.016,76 "," 4.481,98 ",2931076114,CFD," 0,00 "
03/02/2025 00:05:19,Edit Stop Loss,-,"(43,08)",-," 0,00 "," 6.016,76 "," 4.438,90 ",2931076114,-," 0,00 "
03/02/2025 07:49:10,Position closed,NSDQ100/USD," 294,71 ",0.238033," 1,63 "," 6.018,39 "," 4.733,61 ",2931076114,CFD," 0,00 "
03/02/2025 07:50:50,Open Position,NSDQ100/USD," 300,00 ",0.285399," 0,00 "," 6.018,39 "," 4.433,61 ",2931296868,CFD," 0,00 "
03/02/2025 08:04:16,Position closed,NSDQ100/USD," 300,67 ",0.285399," 0,67 "," 6.019,06 "," 4.734,28 ",2931296868,CFD," 0,00 "
03/02/2025 08:04:40,Open Position,NSDQ100/USD," 249,98 ",0.237601," 0,00 "," 6.019,06 "," 4.484,30 ",2931353856,CFD," 0,00 "
03/02/2025 08:13:55,Position closed,NSDQ100/USD," 253,51 ",0.237601," 3,53 "," 6.022,59 "," 4.737,81 ",2931353856,CFD," 0,00 "
03/02/2025 08:14:15,Open Position,NSDQ100/USD," 349,98 ",0.332361," 0,00 "," 6.022,59 "," 4.387,83 ",2931395963,CFD," 0,00 "
03/02/2025 08:21:53,Position closed,NSDQ100/USD," 368,12 ",0.332361," 18,14 "," 6.040,73 "," 4.755,95 ",2931395963,CFD," 0,00 "
