Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
TOPUP,Current,2024-01-18 10:42:07,2024-01-18 10:42:50,Top-Up by *4164,2250.00,0.00,RON,COMPLETED,2294.19
TRANSFER,Current,2024-01-18 10:45:57,2024-01-18 10:45:58,To LAURENTIU-IRINEL STAVARACHE,-2250.00,0.00,RON,COMPLETED,44.19
TOPUP,Current,2024-01-24 12:20:38,2024-01-24 12:20:42,Top-Up by *4164,150.00,0.00,RON,COMPLETED,194.19
TOPUP,Current,2024-01-24 12:22:53,2024-01-24 12:22:55,Top-Up by *4164,60.00,0.00,RON,COMPLETED,254.19
TRANSFER,Current,2024-01-24 12:23:22,2024-01-24 12:23:22,To LAURENTIU-IRINEL STAVARACHE,-200.00,0.00,RON,COMPLETED,54.19
TOPUP,Current,2024-01-30 09:18:11,2024-01-30 09:18:13,Top-Up by *4164,200.00,0.00,RON,COMPLETED,254.19
TRANSFER,Current,2024-01-30 09:18:53,2024-01-30 09:18:53,To LAURENTIU-IRINEL STAVARACHE,-185.00,0.00,RON,COMPLETED,69.19
TRANSFER,Current,2024-02-10 15:23:12,2024-02-10 15:23:12,From MIRUNA-IOANA PAMPEA,100.00,0.00,RON,COMPLETED,169.19
TRANSFER,Current,2024-02-17 16:02:33,2024-02-17 16:02:33,To COSMIN-IONUT DRAGUT,-92.00,0.00,RON,COMPLETED,77.19
TOPUP,Current,2024-02-17 16:03:41,2024-02-17 16:03:44,Apple Pay Top-Up by *4109,2250.00,0.00,RON,COMPLETED,2327.19
TRANSFER,Current,2024-02-17 16:04:06,2024-02-17 16:04:06,To LAURENTIU-IRINEL STAVARACHE,-2250.00,0.00,RON,COMPLETED,77.19
TRANSFER,Current,2024-02-23 13:26:44,2024-02-23 13:26:44,To MIRUNA-IOANA PAMPEA,-16.00,0.00,RON,COMPLETED,61.19
TRANSFER,Current,2024-02-25 19:50:45,2024-02-25 19:50:45,From MIRUNA-IOANA PAMPEA,63.00,0.00,RON,COMPLETED,124.19
CARD_PAYMENT,Current,2024-02-25 19:51:33,2024-02-26 17:43:33,Glovo,-62.40,0.00,RON,COMPLETED,61.79
TOPUP,Current,2024-02-29 09:56:44,2024-02-29 09:56:49,Apple Pay Top-Up by *4109,250.00,0.00,RON,COMPLETED,311.79
TRANSFER,Current,2024-02-29 09:57:36,2024-02-29 09:57:37,To LAURENTIU-IRINEL STAVARACHE,-250.00,0.00,RON,COMPLETED,61.79
TRANSFER,Current,2024-03-05 22:13:41,2024-03-05 22:13:41,To EDWARD-CRISTIAN POPESCU,-16.00,0.00,RON,COMPLETED,45.79
TRANSFER,Current,2024-03-13 17:18:14,2024-03-13 17:18:15,From ANDRA-MARIA RUSEA,14.00,0.00,RON,COMPLETED,59.79
TOPUP,Current,2024-03-18 22:04:09,2024-03-18 22:04:12,Apple Pay Top-Up by *4109,2250.00,0.00,RON,COMPLETED,2309.79
TRANSFER,Current,2024-03-18 22:04:47,2024-03-18 22:04:48,To LAURENTIU-IRINEL STAVARACHE,-2250.00,0.00,RON,COMPLETED,59.79
TOPUP,Current,2024-03-23 10:27:15,2024-03-23 10:27:18,Apple Pay Top-Up by *4109,369.00,0.00,RON,COMPLETED,428.79
TRANSFER,Current,2024-03-23 10:27:43,2024-03-23 10:27:43,To LAURENTIU-IRINEL STAVARACHE,-370.00,0.00,RON,COMPLETED,58.79
TOPUP,Current,2024-04-06 13:10:03,2024-04-06 13:10:04,Apple Pay Top-Up by *4109,150.00,0.00,RON,COMPLETED,208.79
